"","Sample_04","Sample_03","Sample_02","Sample_01"
"1",0,0,0,0
"2",0,0,0,0
"3",39708.874303958,31606.7875707258,52157.901733903,44771.795692035
"4",0,0,0,0
"5",0,56.6618267140664,0,0
"6",33394.6579756385,26146.2024711324,49460.4247636831,31134.3431323085
"7",24662.3801926172,28478.3865995198,46209.3476585707,43451.5878953828
"8",8518.01552889467,6666.73538397704,5914.40432533707,9113.50834685082
"9",0,0,0,0
"10",34881.474459951,26409.1721749236,47179.0912510176,59165.634239947
"11",34535.5299935335,39034.6924106539,33713.9667624644,55579.3765208567
"12",51389.2533105349,37482.5775301279,57725.5206798851,57195.0922506238
"13",25435.056896589,41135.8671520837,72073.582226721,70074.6750189511
"14",5596.32361541489,7237.22886904521,5552.50689076187,3392.20244655868
"15",0,0,0,0
"16",37143.675826239,36525.3222779464,50333.6561731927,68547.6748152321
"17",52312.1078056005,51739.1653725245,69612.7642570917,92920.2288681296
"18",9.24398705851389,175.866909630565,0,21.0645276764862
"19",0,0,0,0
"20",1562.03138707423,6504.76424764004,1297.89737218427,2427.98264281774
"21",37938.6853620055,29261.1494431585,45528.9120915936,46697.4274545358
"22",41338.3774804632,38736.1269726917,42004.8424127099,53664.5509609839
"23",44005.2833047479,24671.8762408491,39658.9579202245,62609.5218670976
"24",4907.05336241009,6968.46239523844,4713.17342259264,19612.8572286086
"25",38344.8944408412,30061.851708412,46704.8486782171,35633.6932401776
"26",56403.3626207928,33755.0306072031,43269.5773340827,62858.6298803365
"27",75.199862373925,70.0331384456407,109.233152506438,144.626262893965
"28",29095.6306806999,38217.9366787567,43415.9613392007,48863.7652262169
"29",5400.24906185394,11088.2297070851,6408.24564370388,3664.45930334616
"30",0,0,0,0.999872905640905
"31",3202.73818434538,4550.22240869406,5364.41807504869,7302.20364312362
"32",0,0,0,0
"33",45332.0682749882,46343.587085753,65277.2004687567,32286.4410655075
"34",9.44042766405963,155.911627715603,12.6966778990564,51.0406375386845
"35",4.32772392285109,14.5583329552155,0,0
"36",21246.0502421861,34071.6502787616,25366.2443925485,21062.3220571105
