"Sample","Time_point","Rat.ID","Strain","Group","Diet","Surgery.status","LPS","Zonulin","IL6","TNFa","IL1b","IL10","HOMA.IR","Triglicerides","Body_weight","Total.OARSI.score","Body_weight_scaled"
"Sample_04","12weeks","1","SD","HFS","High Fat/Sucrose","Groove",0.737396184296483,401.144764562067,1053.64390621062,6169.55947189327,459.070036257791,403.573180937708,28.5698875506652,1.25762408521503,565,13.7882896557652,0.587611669665549
"Sample_03","24weeks","13","SD","HFS","High Fat/Sucrose","Sham",0.224508773299343,1452.20612890506,498.392842517485,5298.08322574629,283.203734836176,127.757866165456,40.8681041397923,0.782456439575471,632,13.8163540393529,1.75287295592138
"Sample_02","12weeks","13","SD","HFS","High Fat/Sucrose","Sham",0.234120870870941,733.427127698705,420.06454710958,4573.81478029157,327.224739992426,218.97102286529,66.6649870820556,0.984922356984103,684,12.1497077571033,0.673339068407365
"Sample_01","12weeks","28","Wi","HFS","High Fat/Sucrose","Sham",0,NA,22882.4360612136,132.23457709538,422.091812580076,1041.0110485843,87.3658570272979,1.41052447541161,530,12.6398051149355,0.193901772218917
